model,device,lang,prompt_id,category,text_len,audio_seconds,synth_seconds,rtf,sample_rate,vram_peak_mb,error
piper,cpu,fr,fr-01,salutation,149,7.581,1.018,0.134,22050,0.0,
piper,cpu,fr,fr-02,balance,114,5.84,0.347,0.059,22050,0.0,
piper,cpu,fr,fr-03,iban,82,9.253,0.533,0.058,22050,0.0,
piper,cpu,fr,fr-04,otp,135,8.046,0.425,0.053,22050,0.0,
piper,cpu,fr,fr-05,name,134,7.268,0.376,0.052,22050,0.0,
piper,cpu,fr,fr-06,error,148,8.197,0.472,0.058,22050,0.0,
piper,cpu,fr,fr-07,validation,103,4.957,0.323,0.065,22050,0.0,
piper,cpu,fr,fr-08,long,420,21.954,1.301,0.059,22050,0.0,
piper,cpu,fr,fr-09,numbers,176,8.742,0.452,0.052,22050,0.0,
piper,cpu,fr,fr-10,polite-deny,169,8.719,0.495,0.057,22050,0.0,
piper,cpu,en,en-01,salutation,54,2.995,0.216,0.072,22050,0.0,
piper,cpu,en,en-02,balance,95,4.841,0.284,0.059,22050,0.0,
piper,cpu,en,en-03,iban,70,9.567,0.644,0.067,22050,0.0,
piper,cpu,en,en-04,otp,73,5.294,0.295,0.056,22050,0.0,
piper,cpu,en,en-05,name,91,5.201,0.26,0.05,22050,0.0,
piper,cpu,en,en-06,error,81,4.598,0.263,0.057,22050,0.0,
piper,cpu,en,en-07,validation,83,4.423,0.238,0.054,22050,0.0,
piper,cpu,en,en-08,long,252,13.723,0.772,0.056,22050,0.0,
piper,cpu,en,en-09,numbers,73,6.792,0.431,0.063,22050,0.0,
piper,cpu,en,en-10,polite-deny,116,6.502,0.371,0.057,22050,0.0,
piper,cpu,ar_msa,ar-msa-01,salutation,107,11.726,0.954,0.081,22050,0.0,
piper,cpu,ar_msa,ar-msa-02,balance,84,10.879,0.606,0.056,22050,0.0,
piper,cpu,ar_msa,ar-msa-03,iban,142,19.621,1.169,0.06,22050,0.0,
piper,cpu,ar_msa,ar-msa-04,otp,115,14.803,0.769,0.052,22050,0.0,
piper,cpu,ar_msa,ar-msa-05,name,107,13.34,0.735,0.055,22050,0.0,
piper,cpu,ar_msa,ar-msa-06,error,99,11.784,0.638,0.054,22050,0.0,
piper,cpu,ar_msa,ar-msa-07,validation,85,10.344,0.524,0.051,22050,0.0,
piper,cpu,ar_msa,ar-msa-08,long,271,31.684,1.644,0.052,22050,0.0,
piper,cpu,ar_msa,ar-msa-09,numbers,115,15.116,0.823,0.054,22050,0.0,
piper,cpu,ar_msa,ar-msa-10,polite-deny,104,13.363,0.693,0.052,22050,0.0,
